timestamp,queue_depth,worker_replicas
2026-07-18T21:32:46Z,0,0
2026-07-18T21:32:51Z,0,0
2026-07-18T21:32:56Z,0,0
2026-07-18T21:33:02Z,0,0
2026-07-18T21:33:07Z,0,0
2026-07-18T21:33:13Z,0,0
2026-07-18T21:33:18Z,0,0
2026-07-18T21:33:23Z,20,1
2026-07-18T21:33:29Z,20,1
2026-07-18T21:33:34Z,20,4
2026-07-18T21:33:40Z,20,4
2026-07-18T21:33:45Z,20,4
2026-07-18T21:33:50Z,20,4
2026-07-18T21:33:56Z,20,4
2026-07-18T21:34:01Z,20,4
2026-07-18T21:34:07Z,8,4
2026-07-18T21:34:12Z,8,4
2026-07-18T21:34:18Z,8,4
2026-07-18T21:34:23Z,4,4
2026-07-18T21:34:28Z,4,4
2026-07-18T21:34:34Z,0,4
2026-07-18T21:34:39Z,0,4
2026-07-18T21:34:45Z,0,4
2026-07-18T21:34:50Z,0,4
2026-07-18T21:34:56Z,0,4
2026-07-18T21:35:01Z,0,4
2026-07-18T21:35:06Z,0,4
2026-07-18T21:35:12Z,0,4
2026-07-18T21:35:17Z,0,4
2026-07-18T21:35:23Z,0,4
2026-07-18T21:35:28Z,0,4
2026-07-18T21:35:33Z,0,0
2026-07-18T21:35:39Z,0,0
2026-07-18T21:35:44Z,0,0
